Frame,Timestamp,Joint,Angle,Status
14,1774369922.8624551,Left Leg,177,Extended
14,1774369922.8634634,Right Leg,177,Extended
15,1774369922.9447904,Left Arm,158,Bent
15,1774369922.9447904,Right Arm,4,Bent
15,1774369922.9447904,Left Leg,178,Extended
15,1774369922.9458222,Right Leg,177,Extended
16,1774369923.0247633,Left Arm,159,Bent
16,1774369923.0257835,Right Arm,4,Bent
16,1774369923.0257835,Left Leg,178,Extended
16,1774369923.0267823,Right Leg,177,Extended
17,1774369923.1186159,Left Arm,158,Bent
17,1774369923.1196156,Right Arm,4,Bent
17,1774369923.120129,Left Leg,178,Extended
17,1774369923.120129,Right Leg,178,Extended
18,1774369923.2116766,Left Arm,147,Bent
18,1774369923.2116766,Right Arm,5,Bent
18,1774369923.2116766,Left Leg,178,Extended
18,1774369923.2116766,Right Leg,178,Extended
19,1774369923.2838807,Left Arm,149,Bent
19,1774369923.2848852,Right Arm,5,Bent
19,1774369923.2848852,Left Leg,178,Extended
19,1774369923.2858872,Right Leg,178,Extended
20,1774369923.3622859,Left Arm,151,Bent
20,1774369923.3632789,Right Arm,5,Bent
20,1774369923.3632789,Left Leg,178,Extended
20,1774369923.3645527,Right Leg,178,Extended
21,1774369923.435882,Left Arm,151,Bent
21,1774369923.4368808,Right Arm,5,Bent
21,1774369923.4368808,Left Leg,178,Extended
21,1774369923.4378762,Right Leg,178,Extended
22,1774369923.5135965,Left Arm,143,Bent
22,1774369923.5146277,Right Arm,5,Bent
22,1774369923.5146277,Left Leg,178,Extended
22,1774369923.5146277,Right Leg,178,Extended
23,1774369923.597584,Left Arm,137,Bent
23,1774369923.598583,Right Arm,5,Bent
23,1774369923.598583,Left Leg,178,Extended
23,1774369923.598583,Right Leg,178,Extended
24,1774369923.6729784,Left Arm,147,Bent
24,1774369923.6729784,Right Arm,6,Bent
24,1774369923.6729784,Left Leg,178,Extended
24,1774369923.6729784,Right Leg,178,Extended
25,1774369923.753839,Left Arm,132,Bent
25,1774369923.753839,Right Arm,6,Bent
25,1774369923.753839,Left Leg,178,Extended
25,1774369923.7553456,Right Leg,178,Extended
26,1774369923.8293724,Left Arm,138,Bent
26,1774369923.8303702,Right Arm,6,Bent
26,1774369923.8303702,Left Leg,178,Extended
26,1774369923.8303702,Right Leg,178,Extended
27,1774369923.9062302,Left Arm,142,Bent
27,1774369923.9072304,Right Arm,6,Bent
27,1774369923.9072304,Left Leg,178,Extended
27,1774369923.9072304,Right Leg,178,Extended
28,1774369923.988599,Left Arm,143,Bent
28,1774369923.988599,Right Arm,6,Bent
28,1774369923.9895983,Left Leg,178,Extended
28,1774369923.990598,Right Leg,178,Extended
29,1774369924.0770917,Left Arm,135,Bent
29,1774369924.0781438,Right Arm,6,Bent
29,1774369924.0781438,Left Leg,178,Extended
29,1774369924.0781438,Right Leg,178,Extended
30,1774369924.1638317,Left Arm,130,Bent
30,1774369924.1638317,Right Arm,6,Bent
30,1774369924.1653407,Left Leg,178,Extended
30,1774369924.1653407,Right Leg,178,Extended
31,1774369924.2563813,Left Arm,88,Bent
31,1774369924.2563813,Right Arm,5,Bent
31,1774369924.2574487,Left Leg,178,Extended
31,1774369924.2574487,Right Leg,179,Extended
32,1774369924.3514783,Left Arm,111,Bent
32,1774369924.3514783,Right Arm,6,Bent
32,1774369924.3524916,Left Leg,178,Extended
32,1774369924.3524916,Right Leg,178,Extended
33,1774369924.443905,Left Arm,115,Bent
33,1774369924.443905,Right Arm,6,Bent
33,1774369924.4449239,Left Leg,178,Extended
33,1774369924.4449239,Right Leg,179,Extended
34,1774369924.5277898,Left Arm,102,Bent
34,1774369924.528894,Right Arm,6,Bent
34,1774369924.528894,Left Leg,178,Extended
34,1774369924.528894,Right Leg,179,Extended
35,1774369924.6052372,Left Arm,133,Bent
35,1774369924.6062245,Right Arm,6,Bent
35,1774369924.6062245,Left Leg,178,Extended
35,1774369924.6072302,Right Leg,179,Extended
36,1774369924.6861143,Left Arm,34,Bent
36,1774369924.6861143,Right Arm,6,Bent
36,1774369924.6861143,Left Leg,178,Extended
36,1774369924.6861143,Right Leg,179,Extended
37,1774369924.7629251,Left Arm,144,Bent
37,1774369924.7629251,Right Arm,6,Bent
37,1774369924.7639368,Left Leg,178,Extended
37,1774369924.7639368,Right Leg,179,Extended
38,1774369924.8418326,Left Arm,141,Bent
38,1774369924.8418326,Right Arm,6,Bent
38,1774369924.842843,Left Leg,178,Extended
38,1774369924.842843,Right Leg,178,Extended
39,1774369924.9212584,Left Arm,147,Bent
39,1774369924.9212584,Right Arm,6,Bent
39,1774369924.9212584,Left Leg,179,Extended
39,1774369924.9227927,Right Leg,178,Extended
40,1774369925.0031981,Left Arm,77,Bent
40,1774369925.004199,Right Arm,5,Bent
40,1774369925.004199,Left Leg,178,Extended
40,1774369925.005235,Right Leg,178,Extended
41,1774369925.0824208,Left Arm,109,Bent
41,1774369925.0834348,Right Arm,7,Bent
41,1774369925.0834348,Left Leg,178,Extended
41,1774369925.0844462,Right Leg,179,Extended
42,1774369925.162678,Left Arm,33,Bent
42,1774369925.162678,Right Arm,8,Bent
42,1774369925.163672,Left Leg,178,Extended
42,1774369925.1646776,Right Leg,179,Extended
43,1774369925.2559981,Left Arm,131,Bent
43,1774369925.2559981,Right Arm,7,Bent
43,1774369925.2569947,Left Leg,178,Extended
43,1774369925.2569947,Right Leg,179,Extended
44,1774369925.3525481,Left Arm,66,Bent
44,1774369925.3525481,Right Arm,7,Bent
44,1774369925.3540456,Left Leg,178,Extended
44,1774369925.3540456,Right Leg,179,Extended
45,1774369925.4471788,Left Arm,47,Bent
45,1774369925.4471788,Right Arm,7,Bent
45,1774369925.4471788,Left Leg,178,Extended
45,1774369925.4471788,Right Leg,179,Extended
46,1774369925.5343122,Left Arm,27,Bent
46,1774369925.5343122,Right Arm,7,Bent
46,1774369925.5343122,Left Leg,178,Extended
46,1774369925.5358367,Right Leg,179,Extended
47,1774369925.6106558,Left Arm,44,Bent
47,1774369925.6116333,Right Arm,8,Bent
47,1774369925.6116333,Left Leg,178,Extended
47,1774369925.6116333,Right Leg,178,Extended
48,1774369925.6888146,Left Arm,54,Bent
48,1774369925.6888146,Right Arm,8,Bent
48,1774369925.6898315,Left Leg,178,Extended
48,1774369925.6898315,Right Leg,178,Extended
49,1774369925.7683036,Left Arm,106,Bent
49,1774369925.7683036,Right Arm,7,Bent
49,1774369925.7683036,Left Leg,178,Extended
49,1774369925.7683036,Right Leg,178,Extended
50,1774369925.846181,Left Arm,32,Bent
50,1774369925.8471851,Right Arm,8,Bent
50,1774369925.8471851,Left Leg,178,Extended
50,1774369925.8481965,Right Leg,178,Extended
51,1774369925.928082,Left Arm,29,Bent
51,1774369925.928082,Right Arm,8,Bent
51,1774369925.9290833,Left Leg,178,Extended
51,1774369925.9290833,Right Leg,178,Extended
52,1774369926.0126994,Left Arm,32,Bent
52,1774369926.0126994,Right Arm,8,Bent
52,1774369926.0137148,Left Leg,178,Extended
52,1774369926.0147114,Right Leg,179,Extended
53,1774369926.108124,Left Arm,34,Bent
53,1774369926.1091251,Right Arm,9,Bent
53,1774369926.1091251,Left Leg,178,Extended
53,1774369926.1101217,Right Leg,179,Extended
54,1774369926.2028828,Left Arm,32,Bent
54,1774369926.2033951,Right Arm,9,Bent
54,1774369926.2044117,Left Leg,178,Extended
54,1774369926.2044117,Right Leg,179,Extended
55,1774369926.2934895,Left Arm,31,Bent
55,1774369926.294492,Right Arm,9,Bent
55,1774369926.294492,Left Leg,178,Extended
55,1774369926.294492,Right Leg,179,Extended
56,1774369926.3838446,Left Arm,31,Bent
56,1774369926.3838446,Right Arm,10,Bent
56,1774369926.3838446,Left Leg,178,Extended
56,1774369926.384986,Right Leg,179,Extended
57,1774369926.4584994,Left Arm,31,Bent
57,1774369926.4584994,Right Arm,11,Bent
57,1774369926.4584994,Left Leg,178,Extended
57,1774369926.4595132,Right Leg,179,Extended
58,1774369926.5308132,Left Arm,31,Bent
58,1774369926.5308132,Right Arm,11,Bent
58,1774369926.5318143,Left Leg,177,Extended
58,1774369926.5318143,Right Leg,179,Extended
59,1774369926.612881,Left Arm,31,Bent
59,1774369926.612881,Right Arm,11,Bent
59,1774369926.6141934,Left Leg,177,Extended
59,1774369926.6141934,Right Leg,179,Extended
60,1774369926.6901515,Left Arm,31,Bent
60,1774369926.6901515,Right Arm,11,Bent
60,1774369926.6911504,Left Leg,177,Extended
60,1774369926.6911504,Right Leg,179,Extended
61,1774369926.7682314,Left Arm,32,Bent
61,1774369926.7682314,Right Arm,12,Bent
61,1774369926.7692726,Left Leg,177,Extended
61,1774369926.7692726,Right Leg,179,Extended
62,1774369926.8425148,Left Arm,140,Bent
